month,rate_pct,tenor,bank,source,n_banks,observed,snapshot,provenance
2022-07,5.5,12 months,Vietcombank (over-the-counter),press-state-owned,0,True,,"Press report, article dated 02/08/2022 reporting the increase: ""for a 12-month term, the interest rate increases from 5.5%/year to 5.6%/year"". 5.5% is the pre-increase level, so it is the July level; the month is inferred from the increase date, the level is stated (https://en.baoquocte.vn/the-trend-of-race-to-increase-interest-rates-continues-to-be-hot-192920.html)"
2022-08,5.6,12 months,Vietcombank (over-the-counter),press-state-owned,0,True,,"Press report, article dated 02/08/2022: ""for a 12-month term, the interest rate increases from 5.5%/year to 5.6%/year"". Sits just above the SBV's 5.5-6.6% band for 12-to-24-month terms that month (https://en.baoquocte.vn/the-trend-of-race-to-increase-interest-rates-continues-to-be-hot-192920.html)"
2022-09,5.6,12 months,Agribank,agribank-board-rate,1,True,20220926055710,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20220926055710 of https://www.agribank.com.vn/vn/lai-suat"
2022-10,6.4,12 months,Agribank,agribank-board-rate,1,True,20221020012153,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20221020012153 of https://www.agribank.com.vn/vn/lai-suat"
2022-11,7.4,12 months,Agribank,agribank-board-rate,1,True,20221128042309,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20221128042309 of https://www.agribank.com.vn/vn/lai-suat"
2022-12,7.4,12 months,Agribank,agribank-board-rate,1,True,20221225030309,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20221225030309 of https://www.agribank.com.vn/vn/lai-suat"
2023-01,7.4,12 months,Agribank,agribank-board-rate,1,False,20221225030309,"bridged between observations at 2022-12 and 2023-02, which agree at 7.4%"
2023-02,7.4,12 months,Agribank,agribank-board-rate,1,True,20230227065357,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230227065357 of https://www.agribank.com.vn/vn/lai-suat"
2023-03,7.2,12 months,Agribank,agribank-board-rate,1,True,20230327002150,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230327002150 of https://www.agribank.com.vn/vn/lai-suat"
2023-04,7.2,12 months,Agribank,agribank-board-rate,1,True,20230422161036,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230422161036 of https://www.agribank.com.vn/vn/lai-suat"
2023-05,6.8,12 months,state-owned commercial banks (average),shinhan-scb-average,4,True,,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024), indicator table row ""Avg. Deposit rate 12M term of SCBs"", column 05/23 = 6.8% (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)"
2023-06,6.8,12 months,Agribank,agribank-board-rate,1,True,20230606055027,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230606055027 of https://www.agribank.com.vn/vn/lai-suat"
