fund_code,period_end,check,passed,residual_vnd,detail
VCBF-AIF,2025-02-12,reconcile,True,0.0,"nav_end 95,977,887,309 vs identity 95,977,887,309, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
VCBF-AIF,2025-02-19,reconcile,True,0.0,"nav_end 121,680,048,741 vs identity 121,680,048,741, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-02-26,reconcile,True,0.0,"nav_end 139,558,617,930 vs identity 139,558,617,930, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-03-05,reconcile,True,0.0,"nav_end 159,856,368,481 vs identity 159,856,368,481, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-03-12,reconcile,True,0.0,"nav_end 171,680,269,184 vs identity 171,680,269,184, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-03-19,reconcile,True,0.0,"nav_end 179,555,910,123 vs identity 179,555,910,123, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-03-26,reconcile,True,0.0,"nav_end 198,612,356,313 vs identity 198,612,356,313, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-04-02,reconcile,True,0.0,"nav_end 202,564,845,009 vs identity 202,564,845,009, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-04-09,reconcile,True,0.0,"nav_end 172,990,578,269 vs identity 172,990,578,269, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
VCBF-AIF,2025-04-16,reconcile,True,0.0,"nav_end 196,221,281,087 vs identity 196,221,281,087, residual 0.00 VND (absent, treated as 0: chg_distribution) [flow from gross legs 3.2.1+3.2.2]"
