manager_id,fund_key,title,published,reason
vinacapital,veof,20200720-veof-giatritaisanrong-quymo-pl24-tt183-tuan.xlsx,2020-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,veof,20200720-veof-baocaothaydoigiatritsrgiaodichchungchi-quymo-tt183-pl26-tuan.xlsx,2020-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,veof,20181010-veof-giatritaisanrong-quymo-pl24-tt183-ky.xlsx,2018-10-10,filename matches neither the weekly nor the daily pattern
vinacapital,veof,20180110-veof-giatritaisanrong-quymo-pl24-tt183-ky.xlsx,2018-01-10,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220801-vesaf-bc-daily.xlsx,2022-08-01,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220720-vesaf-bc-daily.xlsx,2022-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220711-vesaf-bc-weekly.xlsx,2022-07-11,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220711-vesaf-bc-daily.xlsx,2022-07-11,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220612-vesaf-bc-daily.xlsx,2022-06-12,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220606-vesaf-bc-weekly.xlsx,2022-06-06,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220606-vesaf-bc-daily.xlsx,2022-06-06,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20220517-vesaf-bc-daily.xlsx,2022-05-17,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20200720-vesaf-giatritaisanrong-quymo-pl24-tt183-tuan.xlsx,2020-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,vesaf,20200720-vesaf-baocaothaydoigiatritsrgiaodichchungchi-quymo-tt183-pl26-tuan.xlsx,2020-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220720-vibf-bc-weekly.xlsx,2022-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220720-vibf-bc-daily.xlsx,2022-07-20,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220711-vibf-bc-daily.xlsx,2022-07-11,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220629-vibf-changes-of-nav-periodic-report.xlsx,2022-06-29,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220627-vibf-changes-of-nav-periodic-report.xlsx,2022-06-27,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220623-vibf-changes-of-nav-periodic-report.xlsx,2022-06-23,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220620-vibf-changes-of-nav-periodic-report.xlsx,2022-06-20,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220615-vibf-changes-of-nav-periodic-report.xlsx,2022-06-15,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220613-vibf-changes-of-nav-periodic-report.xlsx,2022-06-13,filename matches neither the weekly nor the daily pattern
vinacapital,vibf,20220608-vibf-changes-of-nav-periodic-report.xlsx,2022-06-08,filename matches neither the weekly nor the daily pattern
