fund_code,period_end,check,passed,residual_vnd,detail
DCBC,2022-12-15,chain_continuity,False,12739019235.0,"opening 382,914,001,901 does not match prior closing 370,174,982,666 (gap 12,739,019,235 VND); likely a missed filing between 2022-12-01 and 2022-12-09"
DCBF,2021-07-15,chain_continuity,False,15289558148.0,"opening 830,746,172,955 does not match prior closing 815,456,614,807 (gap 15,289,558,148 VND); likely a missed filing between 2021-07-01 and 2021-07-09"
DCBF,2023-01-26,chain_continuity,False,-1806106182.0,"opening 433,163,118,984 does not match prior closing 434,969,225,166 (gap -1,806,106,182 VND); likely a missed filing between 2023-01-05 and 2023-01-13"
DCDS,2021-07-01,chain_continuity,False,21682655441.0,"opening 873,558,956,629 does not match prior closing 851,876,301,188 (gap 21,682,655,441 VND); likely a missed filing between 2021-06-17 and 2021-06-25"
DCIP,2022-07-21,chain_continuity,False,4620203273.0,"opening 382,837,900,368 does not match prior closing 378,217,697,095 (gap 4,620,203,273 VND); likely a missed filing between 2022-07-07 and 2022-07-15"
DCIP,2023-02-16,chain_continuity,False,-657576139.0,"opening 290,796,545,011 does not match prior closing 291,454,121,150 (gap -657,576,139 VND); likely a missed filing between 2023-02-02 and 2023-02-10"
SSI-EF,2025-11-26,chain_continuity,False,10891371051.0,"opening 85,790,366,964 does not match prior closing 74,898,995,913 (gap 10,891,371,051 VND); likely a missed filing between 2025-10-29 and 2025-11-20"
SSI-EF,2026-01-07,chain_continuity,False,3127629867.0,"opening 89,431,135,163 does not match prior closing 86,303,505,296 (gap 3,127,629,867 VND); likely a missed filing between 2025-11-26 and 2026-01-01"
SSI-EF,2026-01-28,chain_continuity,False,-4859323320.0,"opening 84,959,615,734 does not match prior closing 89,818,939,054 (gap -4,859,323,320 VND); likely a missed filing between 2026-01-07 and 2026-01-22"
SSI-EF,2026-03-25,chain_continuity,False,-26918928.0,"opening 85,013,447,873 does not match prior closing 85,040,366,801 (gap -26,918,928 VND); likely a missed filing between 2026-03-11 and 2026-03-19"
SSI-EF,2026-05-06,chain_continuity,False,-823856.0,"opening 89,166,905,641 does not match prior closing 89,167,729,497 (gap -823,856 VND); likely a missed filing between 2026-05-03 and 2026-05-01"
SSI-SCA,2023-08-09,chain_continuity,False,2422293607.0,"opening 574,650,663,995 does not match prior closing 572,228,370,388 (gap 2,422,293,607 VND); likely a missed filing between 2023-07-26 and 2023-08-03"
SSI-SCA,2023-09-27,chain_continuity,False,-925704505.0,"opening 607,226,883,156 does not match prior closing 608,152,587,661 (gap -925,704,505 VND); likely a missed filing between 2023-09-13 and 2023-09-21"
SSI-SCA,2024-02-28,chain_continuity,False,11053902426.0,"opening 514,077,032,868 does not match prior closing 503,023,130,442 (gap 11,053,902,426 VND); likely a missed filing between 2024-02-07 and 2024-02-22"
SSI-SCA,2024-03-27,chain_continuity,False,-7522903371.0,"opening 551,159,908,775 does not match prior closing 558,682,812,146 (gap -7,522,903,371 VND); likely a missed filing between 2024-03-13 and 2024-03-21"
SSI-SCA,2025-02-05,chain_continuity,False,18978868726.0,"opening 814,755,625,411 does not match prior closing 795,776,756,685 (gap 18,978,868,726 VND); likely a missed filing between 2025-01-22 and 2025-01-30"
SSIBF,2021-07-12,chain_continuity,False,-73608995498.0,"opening 1,620,297,798,059 does not match prior closing 1,693,906,793,557 (gap -73,608,995,498 VND); likely a missed filing between 2021-05-24 and 2021-07-06"
SSIBF,2023-01-23,chain_continuity,False,-1140056082965.0,"opening 448,763,939,358 does not match prior closing 1,588,820,022,323 (gap -1,140,056,082,965 VND); likely a missed filing between 2021-07-12 and 2023-01-17"
SSIBF,2023-02-13,chain_continuity,False,-2161026779.0,"opening 446,700,790,602 does not match prior closing 448,861,817,381 (gap -2,161,026,779 VND); likely a missed filing between 2023-01-30 and 2023-02-07"
