fund_code,period_end,fmarket_date,parsed,fmarket,diff_pct,agrees
VCBF-AIF,2025-02-12,2025-02-13,9996.94,9996.94,0.0,True
VCBF-AIF,2025-02-19,2025-02-20,10032.16,10032.16,0.0,True
VCBF-AIF,2025-02-26,2025-02-27,10145.02,10145.02,0.0,True
VCBF-AIF,2025-03-05,2025-03-06,10123.58,10123.58,0.0,True
VCBF-AIF,2025-03-12,2025-03-13,10138.2,10138.2,0.0,True
VCBF-AIF,2025-03-19,2025-03-20,9907.72,9907.72,0.0,True
VCBF-AIF,2025-03-26,2025-03-27,9838.7,9838.7,0.0,True
VCBF-AIF,2025-04-02,2025-04-03,9731.59,9731.59,0.0,True
VCBF-AIF,2025-04-09,2025-04-10,8092.46,8092.46,0.0,True
VCBF-AIF,2025-04-16,2025-04-17,8839.75,8839.75,0.0,True
VCBF-AIF,2025-04-23,2025-04-24,8934.01,8934.01,0.0,True
VCBF-AIF,2025-04-30,2025-05-01,9060.85,,,
VCBF-AIF,2025-05-07,2025-05-08,9188.04,9188.04,0.0,True
VCBF-AIF,2025-05-14,2025-05-15,9671.69,9671.69,0.0,True
VCBF-AIF,2025-05-21,2025-05-22,9685.82,9685.82,0.0,True
VCBF-AIF,2025-05-28,2025-05-29,9794.52,9794.52,0.0,True
VCBF-AIF,2025-06-11,2025-06-12,9653.73,9653.73,0.0,True
VCBF-AIF,2025-06-18,2025-06-19,9865.99,9865.99,0.0,True
VCBF-AIF,2025-06-25,2025-06-26,9977.2,9977.2,0.0,True
VCBF-AIF,2025-07-02,2025-07-03,10175.75,10175.75,0.0,True
VCBF-AIF,2025-07-09,2025-07-10,10392.34,10392.34,0.0,True
VCBF-AIF,2025-07-16,2025-07-17,10554.14,10554.14,0.0,True
VCBF-AIF,2025-07-23,2025-07-24,10704.93,10704.93,0.0,True
VCBF-AIF,2025-07-30,2025-07-31,10593.5,10593.5,0.0,True
VCBF-AIF,2025-08-06,2025-08-07,10945.73,10945.73,0.0,True
VCBF-AIF,2025-08-13,2025-08-14,11266.03,11266.03,0.0,True
VCBF-AIF,2025-08-20,2025-08-21,11389.23,11389.23,0.0,True
VCBF-AIF,2025-08-27,2025-08-28,11407.21,11407.21,0.0,True
VCBF-AIF,2025-09-03,2025-09-04,11554.14,11554.14,0.0,True
VCBF-AIF,2025-09-10,2025-09-11,11301.35,11301.35,0.0,True
VCBF-AIF,2025-09-17,2025-09-18,11500.06,11500.06,0.0,True
