fund_code,period_end,gross_return,units_begin,units_end,reported_net_flow,proxy_end,proxy_mid,proxy_end_error_vnd,proxy_mid_error_vnd,proxy_end_error_pct,proxy_mid_error_pct,source,delta_units
SSIBF,,,7031118.961396523,,5421220558.0,,,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20250728.pdf,
DCBC,2021-06-17,0.02104129542969102,17279590.160670437,17546769.708489142,7351917965.0,7371406242.249215,7295452440.395314,19488277.249215126,-56465524.60468578,0.2650774579095174,-0.7680380123050758,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/06/DCBC_BC_TUAN_20210617.xlsx,267179.54781870544
DCBC,2021-06-24,0.01620531712729134,17546769.708489142,17729166.96970875,5094559608.0,5113837357.334456,5073062449.588814,19277749.334456444,-21497158.41118622,0.3783987393961304,-0.42196303636194926,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/06/DCBC_BC_TUAN_20210624.xlsx,182397.2612196058
DCBC,2021-07-01,0.03467405885334318,17729166.96970875,17871567.018776268,4070727449.0,4130877327.397713,4061660223.5472193,60149878.397713184,-9067225.452780724,1.4776198886144878,-0.22274214047437996,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210701.xlsx,142400.0490675196
DCBC,2021-07-08,-0.022024919197378923,17871567.018776268,16448418.274066586,-41713771782.0,-40374786813.36346,-40829425911.34841,1338984968.6365433,884345870.6515884,3.2099350201036763,2.120033343599953,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210708.xlsx,-1423148.7447096817
DCBC,2021-07-15,-0.05761042282633366,16448418.274066586,13621310.060432464,-73870028348.0,-75584519169.68285,-77894846137.40572,-1714490821.682846,-4024817789.405716,-2.320955954701844,-5.448512582728265,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210715.xlsx,-2827108.213634122
DCBC,2021-07-22,0.0010076441063853192,13621310.060432464,14366543.029798707,19985880662.0,19944349508.971935,19934311220.874573,-41531153.02806473,-51569441.125427246,-0.20780246680362535,-0.2580293658186322,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210722.xlsx,745232.9693662431
DCBC,2021-07-29,0.0013092912975098958,14366543.029798707,14025243.5944101,-8916973692.0,-9146009162.764112,-9140029596.656105,-229035470.76411247,-223055904.65610504,-2.568533660356037,-2.5014754148733562,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBC_BC_TUAN_20210729.xlsx,-341299.4353886079
DCBC,2021-08-05,0.04596715901156845,14025243.5944101,14392004.04378685,10009795244.0,10280082674.969685,10054193080.396297,270287430.9696846,44397836.396297455,2.7002293691441728,0.44354390188860343,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210805.xlsx,366760.44937675074
DCBC,2021-08-12,-0.012055904117887484,14392004.04378685,14466491.669862593,2038612253.0,2062674097.476431,2075259526.7781882,24061844.476430893,36647273.77818823,1.180305104171808,1.7976578785033048,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210812.xlsx,74487.62607574277
DCBC,2021-08-19,0.03182059476734733,14466491.669862593,14892106.220561894,11817285700.0,12160939848.183891,11973422589.436794,343654148.1838913,156136889.43679428,2.908063297343241,1.321258480166848,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210819.xlsx,425614.55069930106
DCBC,2021-08-26,-0.06355516077257062,14892106.220561894,15143320.312130934,6799929981.0,6721665108.167164,6949759966.889105,-78264872.83283615,149829985.88910484,-1.1509658636415325,2.203404833693167,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/08/DCBC_BC_TUAN_20210826.xlsx,251214.09156903997
DCBC,2021-09-02,0.01900158165873833,15143320.312130934,15260621.766218696,3184245130.0,3198240567.9064074,3168421365.262758,13995437.906407356,-15823764.737242222,0.4395213727282157,-0.49693927732386045,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/09/DCBC_BC_TUAN_20210902.xlsx,117301.45408776216
DCBC,2021-09-09,0.02659293148687314,15260621.766218696,15310900.347121492,1385348226.0,1407307535.1854472,1389080041.2507565,21959309.185447216,3731815.250756502,1.5851111491911072,0.2693774157802619,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/09/DCBC_BC_TUAN_20210909.xlsx,50278.58090279624
DCBC,2021-09-16,-0.0014447913912727373,15310900.347121492,15400570.756171074,1326953574.0,2506266412.0376377,2508079547.70862,1179312838.0376377,1181125973.70862,88.87370750151337,89.01034646963618,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/09/DCBC_BC_TUAN_20210916.xlsx,89670.40904958174
