fund_code,period_start,period_end,report_date,period_days,source,date_conflict,template_variant,nav_begin,nav_per_unit_begin,nav_end,nav_per_unit_end,chg_investment,chg_flows_net,subscriptions,redemptions,chg_distribution,chg_nav_per_unit,nav_52w_high,nav_52w_low,foreign_units,foreign_value,foreign_ownership_pct,prior_nav_begin,prior_nav_per_unit_begin,prior_nav_end,prior_nav_per_unit_end,prior_chg_investment,prior_chg_flows_net,prior_subscriptions,prior_redemptions,prior_chg_distribution,prior_chg_nav_per_unit,prior_nav_52w_high,prior_nav_52w_low,prior_foreign_units,prior_foreign_value,prior_foreign_ownership_pct,net_flow,units_begin,units_end,gross_return,foreign_share_of_nav,reconcile_residual_vnd,net_flow_residual_vnd,quarantine_reason
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20250728.pdf,,standard,113438526477.0,16133.78,118911565525.0,,51818490.0,5421220558.0,,,,7.13,384984169755.0,112581719904.0,111797.02,1804505638.0,1.52,125270468531.0,16122.35,113438526477.0,,85769563.0,-11917711617.0,,,,11.43,384984169755.0,113438526477.0,111797.02,1803708525.0,1.59,5421220558.0,7031118.961396523,,,1.5175190319234508,0.0,0.0,period_end missing; cannot place row in time
DCBF,2021-06-02,2021-07-08,2021-07-09,36.0,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/07/DCBF_BC_TUAN_20210708.xlsx,,standard,815456614807.0,21484.7,830746172955.0,21523.3,1489605815.0,13799952333.0,22074221637.0,-8274269304.0,0.0,,21523.3,20109.76,3333372.63,71745179127.0,8.63,816952718106.0,21466.89,815456614807.0,21484.7,676139736.0,-2172243035.0,5134307933.0,-7306550968.0,0.0,,21489.65,20086.21,3333372.63,71616510944.0,8.780000000000001,13799952333.0,37955224.63925491,38597527.932751946,0.0017966273673823974,8.63623348053465,0.0,0.0,"period_days 36 outside plausible range [0, 35]; header dates suspect"
DCBF,2022-01-06,2023-01-12,2023-01-13,371.0,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2023/01/DCBF_BC_TUAN_20230112.xlsx,,standard,434969225166.0,23277.66,433163118984.0,23313.96,674414024.0,-2480520206.0,326441578.0,-2806961784.0,,,23780.78,22333.98,2273015.83,52993000140.0,12.23,437788990122.0,23256.88,434969225166.0,23277.66,388229557.0,-3207994513.0,1940438920.0,-5148433433.0,,,23780.78,22306.59,2300559.61,53551644411.0,12.31,-2480520206.0,18686123.311621528,18579560.014000196,0.0015594350978578309,12.233959406400302,0.0,0.0,"period_days 371 outside plausible range [0, 35]; header dates suspect"
DCDS,2021-10-18,2021-06-24,2021-06-25,-116.0,https://vfmcomvnaz.azureedge.net/dcvfmcomvn/uploads/vfm_files/report/2021/06/DCDS_BC_TUAN_20210624.xlsx,period_start VN 2021-10-18 vs EN 2021-06-18,standard,851876301188.0,66705.5,873558956629.0,67410.66,8997573683.0,12685081758.0,15078557862.0,-2393476104.0,0.0,,68031.12,35084.76,3997392.07,269466837717.0,30.85,808566245657.0,65453.08,851876301188.0,66705.5,15449165811.0,27860889720.0,30888550064.0,-3027660344.0,0.0,,68031.12,35084.76,3997392.07,266648036725.0,31.3,12685081758.0,12770705.58181859,12958765.818774063,0.010571242251388613,30.847012176127503,0.0,0.0,"period_days -116 outside plausible range [0, 35]; header dates suspect"
SSIBF,2023-06-27,2023-07-03,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230307.pdf,,standard,455624746350.0,14036.4,455341885792.0,14042.51,19796195.0,-48082251.0,,,,6.1,1808773684277.0,445198974045.0,90760.55,1274505931.0,0.28,455292780236.0,14012.69,455624746350.0,14036.4,769943046.0,-437976932.0,,,,23.71,1808773684277.0,445198974045.0,90760.55,1273951384.0,0.28,-48082251.0,32460228.14610584,32425961.29837187,0.0004352967997491852,0.2799008768506295,-254574502.0,0.0,"identity: nav_end 455,341,885,792 vs identity 455,596,460,294, residual -254,574,502.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-07-04,2023-07-10,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230310.pdf,,standard,455341885792.0,14042.51,455506339395.0,14059.96,565146.0,-400693.0,,,,17.45,1806289804432.0,445198974045.0,90760.55,1276089703.0,0.28,,,,164453603.0,686.0,-3083.0,,,,17.45,,,,,,-400693.0,32425961.29837187,32397413.60537299,0.0012426553372579807,0.28014751774802793,164289150.0,0.0,"identity: nav_end 455,506,339,395 vs identity 455,342,050,245, residual 164,289,150.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-07-11,2023-07-17,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/Copy%20of%20SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230317.pdf,,standard,455506339395.0,14059.96,455086656006.0,14057.83,-68791.0,-350892.0,,,,-2.13,1806289804432.0,445198974045.0,90760.55,1275896383.0,0.28,,,,-419683389.0,-1257.0,-2132.0,,,,-2.13,,,,,,-350892.0,32397413.60537299,32372468.29745416,-0.0001514940298549261,0.2803633914906919,-419263706.0,0.0,"identity: nav_end 455,086,656,006 vs identity 455,505,919,712, residual -419,263,706.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-08-01,2023-08-07,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/Copy%20of%20SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230807.pdf,,standard,455631821266.0,14095.3,455975577122.0,14113.63,59202954.0,-24827369.0,,,,18.3,1806289804432.0,445198974045.0,90760.55,1280960821.0,0.28,455821621691.0,14089.97,455631821266.0,14095.3,172003150.0,-361803575.0,,,,5.33,1806289804432.0,445198974045.0,90760.55,1279297180.0,0.28,-24827369.0,32325088.594496038,32307462.86547118,0.0013004334778259352,0.2809275069259397,309380271.0,0.0,"identity: nav_end 455,975,577,122 vs identity 455,666,196,851, residual 309,380,271.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-08-15,2023-08-21,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230821.pdf,,standard,458072108320.0,14182.83,458085414723.0,14197.78,4823989.0,-4690925.0,,,,14.0,1681634588433.0,445198974045.0,90760.55,1288598322.0,0.28,455975577122.0,14113.63,458072108320.0,14182.83,2234050878.0,-137519680.0,,,,69.2,1728813451802.0,445198974045.0,90760.55,1287241451.0,0.28,-4690925.0,32297652.04264593,32264580.42898256,0.0010540914612950925,0.28130088419846405,13173339.0,0.0,"identity: nav_end 458,085,414,723 vs identity 458,072,241,384, residual 13,173,339.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-08-22,2023-08-28,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230828.pdf,,standard,458085414723.0,14197.78,458606395527.0,14225.95,90813395.0,-38715314.0,,,,28.1,1598212138512.0,445198974045.0,90760.55,1291155046.0,0.28,,,,520980804.0,1.0,-7.0,,,,17.0,,,,,,-38715314.0,32264580.42898256,32237312.483665414,0.001984113009216859,0.2815388225269494,468882723.0,0.0,"identity: nav_end 458,606,395,527 vs identity 458,137,512,804, residual 468,882,723.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
SSIBF,2023-08-29,2023-09-04,,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/Copy%20of%20SSIBF_Bao-cao-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20230904.pdf,,standard,458606395527.0,14225.95,458521272822.0,14242.15,521767.0,-606890.0,,,,1.0,1571244197159.0,445198974045.0,90760.55,1292625367.0,0.28,,,,-85122705.0,350.0,-55.0,,,,6.2,,,,,,-606890.0,32237312.483665414,32194666.733744554,0.0011387640192745963,0.28191175494311316,-85037582.0,0.0,"identity: nav_end 458,521,272,822 vs identity 458,606,310,404, residual -85,037,582.00 VND (absent, treated as 0: chg_distribution) [flow from net line 3.2]"
