fund_code,period_start,period_end,report_date,period_days,source,date_conflict,template_variant,nav_begin,nav_per_unit_begin,nav_end,nav_per_unit_end,chg_investment,chg_flows_net,subscriptions,redemptions,chg_distribution,chg_nav_per_unit,nav_52w_high,nav_52w_low,foreign_units,foreign_value,foreign_ownership_pct,prior_nav_begin,prior_nav_per_unit_begin,prior_nav_end,prior_nav_per_unit_end,prior_chg_investment,prior_chg_flows_net,prior_subscriptions,prior_redemptions,prior_chg_distribution,prior_chg_nav_per_unit,prior_nav_52w_high,prior_nav_52w_low,prior_foreign_units,prior_foreign_value,prior_foreign_ownership_pct,net_flow,units_begin,units_end,gross_return,foreign_share_of_nav,superseded_by,reason
SSI-SCA,2021-09-09,2021-09-15,2021-09-16,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/Bao-cao-ve-thay-doi-gia-tri-tai-san-rong-quy-mo-PLXXIV-TT98-2020-TT-BTC_SSISCA_TUAN_210915(1).pdf,,standard,634841262611.0,29780.72,647513824342.0,30203.74,9042548471.0,3630013260.0,4704012712.0,-1073999452.0,,423.02,30222.82,17481.39,11358414.01,343066583570.0,52.98,632215848383.0,29637.05,634841262611.0,29780.72,3040025231.0,-414611003.0,2668243859.0,-3082854862.0,,143.67,30222.82,17277.87,11335040.36,337565663150.0,53.17,3630013260.0,21317189.866833307,21438200.18123583,0.014204492033772276,52.98212496368281,https://ssiam.com.vn/upload/files/QuanLyQuy/Bao-cao-ve-thay-doi-gia-tri-tai-san-rong-quy-mo-PLXXIV-TT98-2020-TT-BTC_SSISCA_TUAN_210915.pdf,"duplicate republication, identical figures"
SSI-SCA,2022-09-08,2022-09-14,2022-09-15,6.0,https://ssiam.com.vn/upload/files/QuanLyQuy/Bao-cao-ve-thay-doi-gia-tri-tai-san-rong-quy-mo-PLXXIV-TT98-2020-TT-BTC_SSISCA_TUAN_220914(1).pdf,,standard,558731566221.0,29347.08,563515858561.0,29569.47,4225940803.0,558351537.0,2248719592.0,-1690368055.0,,222.39,34573.0,26796.11,9003074.87,266216152276.0,47.24,574598777337.0,30157.56,558731566221.0,29347.08,-15431567379.0,-435643737.0,555578166.0,-991221903.0,,-810.48,34573.0,26796.11,9000165.67,264128581931.0,47.27,558351537.0,19038744.78213846,19057354.039859354,0.007577925981051559,47.24199829190475,https://ssiam.com.vn/upload/files/QuanLyQuy/Bao-cao-ve-thay-doi-gia-tri-tai-san-rong-quy-mo-PLXXIV-TT98-2020-TT-BTC_SSISCA_TUAN_220914(2).pdf,"duplicate republication, identical figures"
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240429.pdf,,standard,192401003827.0,15083.92,180169239129.0,15090.65,91944759.0,-12323709457.0,,,,6.73,467729205231.0,112762263780.0,78751.95,1188418114.0,0.66,167935758435.0,15044.86,192401003827.0,15083.92,489309019.0,23975936373.0,,,,39.06,467729205231.0,112762263780.0,78751.95,1187888114.0,0.62,-12323709457.0,12755371.536510402,11939130.463498922,0.0004461704914902054,0.6596121067864977,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240506.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240506.pdf,,standard,180169239129.0,15090.65,143266595959.0,15133.01,426421165.0,-37329064335.0,,,,42.36,467729205231.0,112762263780.0,78751.95,1191754047.0,0.83,192401003827.0,15083.92,180169239129.0,15090.65,91944759.0,-12323709457.0,,,,6.73,467729205231.0,112762263780.0,78751.95,1188418114.0,0.66,-37329064335.0,11939130.463498922,9467157.95198708,0.0028070361448977454,0.8318436262288635,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240513.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240513.pdf,,standard,143266595959.0,15133.01,153196411848.0,15129.22,-32824144.0,9962640033.0,,,,-3.79,467729205231.0,112762263780.0,78751.95,1191455577.0,0.78,180169239129.0,15090.65,143266595959.0,15133.01,426421165.0,-37329064335.0,,,,42.36,467729205231.0,112762263780.0,78751.95,1191754047.0,0.83,9962640033.0,9467157.95198708,10125863.1871306,-0.00025044587957057107,0.7777307331337178,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240520.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240520.pdf,,standard,153196411848.0,15129.22,146734811516.0,15125.26,-47943985.0,-6413656347.0,,,,-3.96,467729205231.0,112762263780.0,78751.95,1191143719.0,0.81,143266595959.0,15133.01,153196411848.0,15129.22,-32824144.0,9962640033.0,,,,-3.79,467729205231.0,112762263780.0,78751.95,1191455577.0,0.78,-6413656347.0,10125863.1871306,9701308.375260986,-0.0002617451527573422,0.8117662786993919,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240527.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240527.pdf,,standard,146734811516.0,15125.26,142337586352.0,15172.56,454686736.0,-4851911900.0,,,,47.3,467729205231.0,112762263780.0,78751.95,1194868686.0,0.84,153196411848.0,15129.22,146734811516.0,15125.26,-47943985.0,-6413656347.0,,,,-3.96,467729205231.0,112762263780.0,78751.95,1191143719.0,0.81,-4851911900.0,9701308.375260986,9381250.517513195,0.003127218970120138,0.8394611125729623,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240603.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240603.pdf,,standard,142337586352.0,15172.56,158286883856.0,15189.22,168884306.0,15780413198.0,,,,16.66,467729205231.0,112762263780.0,78751.95,1196180694.0,0.76,146734811516.0,15125.26,142337586352.0,15172.56,454686736.0,-4851911900.0,,,,47.3,467729205231.0,112762263780.0,78751.95,1194868686.0,0.84,15780413198.0,9381250.517513195,10421001.463932974,0.0010980348734821455,0.7557042408442471,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240610.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240610.pdf,,standard,158286883856.0,15189.22,173457237683.0,15187.67,5908853.0,15164444974.0,,,,-1.55,467729205231.0,112762263780.0,78751.95,1196058628.0,0.69,142337586352.0,15172.56,158286883856.0,15189.22,168884306.0,15780413198.0,,,,16.66,467729205231.0,112762263780.0,78751.95,1196180694.0,0.76,15164444974.0,10421001.463932974,11420924.847787712,-0.00010204605634778208,0.6895409173907432,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240617.pdf,superseded by a restatement with different figures
SSIBF,,,,,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240617.pdf,,standard,173457237683.0,15187.67,201336095821.0,15202.66,166085304.0,27712772834.0,,,,14.99,467729205231.0,112762263780.0,78751.95,1197239120.0,0.59,158286883856.0,15189.22,173457237683.0,15187.67,5908853.0,15164444974.0,,,,-1.55,467729205231.0,112762263780.0,78751.95,1196058628.0,0.69,27712772834.0,11420924.847787712,13243478.16901779,0.0009869848370420709,0.5946470329217162,https://ssiam.com.vn/upload/files/QuanLyQuy/SSIBF_Bao-cao-tuan-ve-thay-doi-GTTSR-quy-mo-PLXXIV-TT98-20240624.pdf,superseded by a restatement with different figures
