fund_code,month,period_start,period_end,n_periods,nav_begin,nav_end,nav_per_unit_begin,nav_per_unit_end,subscriptions,redemptions,net_flow,chg_investment,chg_distribution,period_days,gross_return,reconcile_residual_vnd,market_return,excess_return,deposit_rate_pct,deposit_rate_provenance,asset_class,fund_name,manager_id,gross_subscription_rate,gross_redemption_rate,net_flow_rate,churn_rate,gross_legs_disclosed,flow_asymmetry
DCBC,2021-06,2021-06-11,2021-06-24,2,466914397670.0,497069285788.0,27021.15,28036.81,13988320021.0,-1541842448.0,12446477573.0,17708410545.0,0.0,12,0.037587593422189425,0.0,0.007475354986401284,0.03011223843578814,,,equity,DC Blue Chip Fund,dcvfm,0.029959067638103746,0.0033021951254750648,0.02665687251262868,0.03326126276357881,True,0.8014389802968648
DCBC,2021-07,2021-06-25,2021-07-29,5,497069285788.0,375843007998.0,28036.81,26797.61,51890455276.0,-152334620987.0,-100444165711.0,-20782112079.0,0.0,30,-0.04419903690897775,0.0,-0.038000677493514656,-0.006198359415463095,,,equity,DC Blue Chip Fund,dcvfm,0.10439280148589039,0.30646556796504765,-0.20207276647915726,0.410858369450938,True,-0.4918307171135464
DCBC,2021-08,2021-07-30,2021-08-26,4,375843007998.0,405185581462.0,26797.61,26756.72,41134852501.0,-10469229323.0,30665623178.0,-1323049714.0,0.0,24,-0.0015258823454776804,0.0,0.027218119087653703,-0.028744001433131383,,,equity,DC Blue Chip Fund,dcvfm,0.1094469010348568,0.02785532549552102,0.08159157553933578,0.13730222653037782,True,0.5942480147711503
DCBC,2021-09,2021-08-27,2021-09-30,5,405185581462.0,433851752510.0,26756.72,27974.14,14515843346.0,-5593036884.0,8922806462.0,19743364586.0,0.0,30,0.04549959785803326,0.0,0.017051956070278873,0.028447641787754385,,,equity,DC Blue Chip Fund,dcvfm,0.03582517248916804,0.013803642429276666,0.022021530059891378,0.04962881491844471,True,0.44372468083470207
DCBC,2021-10,2021-10-01,2021-10-28,4,433851752510.0,447936030496.0,27974.14,29721.51,25740965874.0,-38844252886.0,-13103287012.0,27187564998.0,0.0,24,0.06246376117371244,0.0,0.06785933053173587,-0.005395569358023433,,,equity,DC Blue Chip Fund,dcvfm,0.0593312478861237,0.08953347004194634,-0.030202222155822633,0.14886471792807004,True,-0.20288368242108282
DCBC,2021-11,2021-10-29,2021-11-25,4,447936030496.0,487639885445.0,29721.51,31054.88,39858842763.0,-20705770673.0,19153072090.0,20550782859.0,0.0,24,0.04486212174280513,0.0,0.037933917114328475,0.006928204628476653,,,equity,DC Blue Chip Fund,dcvfm,0.08898333701547577,0.046224838511142945,0.04275849850433283,0.1352081755266187,True,0.3162419605012337
DCBC,2021-12,2021-11-26,2021-12-30,5,487639885445.0,510050896054.0,31054.88,30018.4,49251067521.0,-11073247837.0,38177819684.0,-15766809075.0,0.0,30,-0.033375752860742125,0.0,0.008977089240634895,-0.04235284210137702,,,equity,DC Blue Chip Fund,dcvfm,0.10099884974760732,0.02270783864797075,0.07829101109963657,0.12370668839557807,True,0.632876137216483
DCBC,2022-01,2021-12-31,2022-01-27,4,510050896054.0,608554830650.0,30018.4,28489.56,139626291653.0,-7027654746.0,132598636907.0,-34094702311.0,0.0,24,-0.050930096207659314,0.0,-0.02334912403746492,-0.027580972170194396,,,equity,DC Blue Chip Fund,dcvfm,0.2737497232790226,0.013778340162460904,0.25997138311656165,0.28752806344148346,True,0.9041600322587988
DCBC,2022-02,2022-01-28,2022-02-24,4,608554830650.0,639746928790.0,28489.56,29420.68,15903249040.0,-4634944062.0,11268304978.0,19923793162.0,0.0,24,0.03268284943677613,0.0,0.016286084484180563,0.016396764952595566,,,equity,DC Blue Chip Fund,dcvfm,0.02613281209683879,0.007616312990317399,0.018516499106521388,0.03374912508715619,True,0.548651233437994
DCBC,2022-03,2022-02-25,2022-03-31,5,639746928790.0,658788863942.0,29420.68,29556.51,24521416547.0,-8543655786.0,15977760761.0,3064174391.0,0.0,30,0.004616820549354861,0.0,-0.0016665864118521334,0.006283406961206994,,,equity,DC Blue Chip Fund,dcvfm,0.03832986989617776,0.013354742948370598,0.024975126947807163,0.05168461284454836,True,0.4832217090011832
